step,active_joint_pos,sde_joint_1_pos,sde_joint_2_pos,sde_joint_3_pos,sde_joint_4_pos,sde_joint_5_pos,rfe_1_x,rfe_1_y,rfe_1_z,rfe_2_x,rfe_2_y,rfe_2_z,rfe_3_x,rfe_3_y,rfe_3_z,rfe_4_x,rfe_4_y,rfe_4_z,rfe_5_x,rfe_5_y,rfe_5_z,rfe_6_x,rfe_6_y,rfe_6_z
23,3.6042239889877383e-05,-0.0006785227102420921,0.0008117122530827601,-0.00021372852942240842,5.589433273400433e-05,-1.3734989260737109e-05,0.0,0.0,0.5,0.11999999998662082,-1.426737272989319e-09,0.49999820807275375,0.3599999622602202,-1.0857047294098164e-07,0.49986363965371644,0.5999999596426997,-8.034838337689583e-08,0.49989908551483836,0.8399999594617394,-8.776892765387284e-08,0.49988976559608134,1.0799999594498666,-8.586819717653945e-08,0.4998921528405969
24,6.471456268374872e-05,-0.0007769503388782719,0.0008998412383146719,-0.0002369332440689187,6.196280607647988e-05,-1.5226199287597874e-05,0.0,0.0,0.5,0.11999999992205745,3.44363026011008e-09,0.500004325067415,0.35999995038832067,-1.1932704349727e-07,0.4998501298140138,0.5999999469515932,-8.698878221783548e-08,0.49989074542880135,0.839999946713998,-9.549160245517985e-08,0.4998800662129838,1.0799999466984096,-9.331365389736258e-08,0.4998828016327668
25,7.303632619817977e-05,-0.0008442373775650961,0.0009743380711061851,-0.00025654854981040223,6.709257937587556e-05,-1.648674171561156e-05,0.0,0.0,0.5,0.11999999974872151,6.1831070128035036e-09,0.5000077657450551,0.35999993887514803,-1.299170061819219e-07,0.4998368292274022,0.5999999346516509,-9.406774461311134e-08,0.49988185452377526,0.8399999343596634,-1.0349372052748114e-07,0.49987001585986485,1.0799999343405062,-1.0107931168028249e-07,0.49987304826469425
26,6.138687915551123e-05,-0.0008810028302094873,0.0010355055523632818,-0.00027265419925400625,7.130451384942375e-05,-1.752174340477103e-05,0.0,0.0,0.5,0.11999999967994171,6.978204006815767e-09,0.500008764356358,0.35999992830981786,-1.4038949692162518e-07,0.4998236761810441,0.5999999233580601,-1.0157233208391917e-07,0.4998724290499931,0.8399999230157252,-1.117786656362415e-07,0.4998596102868452,1.0799999229932649,-1.0916437332099495e-07,0.4998628937376375
27,3.0136330986934486e-05,-0.000887850619785782,0.0010836390965338377,-0.0002853279928527785,7.461895886348186e-05,-1.8336205251113034e-05,0.0,0.0,0.5,0.11999999977389904,5.865165849639983e-09,0.5000073664231591,0.35999991916146673,-1.5075406669226695e-07,0.49981065867928026,0.5999999135684684,-1.0950002917577172e-07,0.4998624721667687,0.8399999131818021,-1.2034709571324916e-07,0.49984884866758755,1.079999913156433,-1.1756868379706096e-07,0.4998523382462985
28,-2.194845059089399e-05,-0.0008627686353197919,0.0011177545519889878,-0.0002943108132921183,7.69681528843821e-05,-1.891347652879819e-05,0.0,0.0,0.5,0.11999999994550808,2.8793543808358036e-09,0.5000036163585716,0.35999991166465733,-1.6102003294619436e-07,0.4997977650197484,0.5999999055396151,-1.1784838210799782e-07,0.49985198695595684,0.8399999051161664,-1.2919965252665994e-07,0.49983773019605593,1.079999905088384,-1.2629209189383188e-07,0.49984138198059724
29,-6.34298165455345e-05,-0.0008570540465206559,0.001162942373807312,-0.00030620895754764283,8.007974563259343e-05,-1.967809061483212e-05,0.0,0.0,0.5,0.11999999997109595,-2.0970491528425665e-09,0.49999736618676416,0.3599999060441834,-1.7115636073835347e-07,0.4997850341811479,0.5999998995274082,-1.2662556213716538e-07,0.4998409631547727,0.8399998990768774,-1.3833419917872954e-07,0.4998262575561118,1.0799998990473183,-1.3533510101458766e-07,0.49983002430827866
30,-8.5128947090928e-05,-0.0008856840338201072,0.0012265281853175891,-0.0003229512480452356,8.445815266907619e-05,-2.0753996739235235e-05,0.0,0.0,0.5,0.11999999975859953,-6.0603568540013784e-09,0.4999923884244323,0.35999989808374167,-1.819542883934718e-07,0.49977147239851666,0.5999998910294062,-1.356232357751778e-07,0.49982966242207993,0.8399998905417119,-1.4780521826505793e-07,0.4998143623197064,1.0799998905097143,-1.4468487570336692e-07,0.49981828135018225
31,-8.742404265460433e-05,-0.0009480414698185965,0.0013082101079973409,-0.0003444581778138395,9.008257748661419e-05,-2.213608400913915e-05,0.0,0.0,0.5,0.11999999956518376,-8.133584894242967e-09,0.4999897845295994,0.35999988646785136,-1.936448319074768e-07,0.4997567895246318,0.5999998786210196,-1.4478057656989324e-07,0.49981816115356764,0.8399998780785374,-1.5762861681529356e-07,0.4998020245082213,1.0799998780429454,-1.5433766841745026e-07,0.49980615781307824
32,-7.067582062510094e-05,-0.0010435377426803497,0.001407700186540758,-0.0003706538877239693,9.693317422187391e-05,-2.38194746644353e-05,0.0,0.0,0.5,0.1199999995414222,-8.35286817212397e-09,0.4999895091182201,0.35999987087877433,-2.0621846956229965e-07,0.49974099751840567,0.5999998619520206,-1.5410009213310252e-07,0.4998064561997715,0.83999986133488,-1.6780373888924498e-07,0.49978924494549215,1.0799998612943895,-1.6429363363988354e-07,0.4997936535029418
